mean_ndvi,mean_ndbi,mean_ndwi,mean_emissivity,mean_albedo
0.1230984369989825,0.0135701650761841,-0.1483840953046149,0.9868046525136934,0.2025690344438355
0.2078500204222435,-0.0730423071837494,-0.2105556095671928,0.9873759014683564,0.178928654124565
0.194608260070854,-0.0678446535887853,-0.2061060811706961,0.987255390873796,0.3080273013119612
0.2045139718642125,-0.055274042783265,-0.2077598572270665,0.987348936318078,0.1809422743576076
0.0787463336233046,0.0062190496416538,-0.1028015235565294,0.9865518407586154,0.1802531313223353
0.1644770586752213,-0.0177181382385696,-0.181918133116805,0.9870511590648609,0.1859086572627479
0.1586619791851518,-0.0127779793223387,-0.174303476980859,0.9870304720812882,0.1832796571331723
0.0638812480195168,-0.0074918613667189,-0.0845507343192536,0.9864820803740189,0.1733796833866607
0.2396584643513551,-0.1119885775909233,-0.2317744375554472,0.9876180417445022,0.1768329761889832
0.0768491823222024,0.0069405946529028,-0.0986225912901151,0.9865441252090102,0.1773385093024079
0.0790704325532851,-0.0021997402796036,-0.1025067178973676,0.9865566574119892,0.1824548817965787
0.2155252345832361,-0.1023456387525409,-0.2141439334906169,0.9874319718394708,0.1666847771895298
0.240754700073151,-0.1182967406806328,-0.233473049101818,0.987617759423726,0.1687913135519969
0.1609967416336516,0.0030602236522899,-0.1815646995245858,0.9870291812851212,0.2043960051107318
0.151336865845682,-0.0233367681463124,-0.1672698833876419,0.9869641662103844,0.1766391774046637
0.2719368381716799,-0.125918539313677,-0.2589131771216184,0.9878824268494694,0.1522728962586062
0.0603401348587544,0.0090678542157045,-0.0847188700300479,0.9864659328832596,0.1715811779745042
0.1496773200050745,0.0086237495186115,-0.1713581776948124,0.9869625819708796,0.1941182203951265
0.2240427857992608,-0.0890576918947502,-0.222638441050354,0.9874901508309551,0.1759076832839732
0.0796248583198397,-0.0081195452839259,-0.1003175657870098,0.9865620739239384,0.1635830853149708
0.0711694866020747,-0.009038565060748,-0.0896776818835393,0.9865212228267982,0.1758301517786822
0.1671835484336324,-0.0249426326808194,-0.1846681054393003,0.9870800627230952,0.1983793726283993
0.1827513933550165,-0.0331625370833998,-0.1920041765651652,0.9871867706732372,0.1971938590631826
0.1878476020163118,-0.0380616033399831,-0.2002772253610235,0.9872308709459204,0.2017467628895979
0.1458892932957764,-0.0612050655930469,-0.1488934395962776,0.9869467305647708,0.1443117313491501
0.0840693447056876,-0.0049103261812898,-0.1060408376139726,0.986583162225808,0.175090023194936
